,state,year,cpi,pop,packpc,income,tax,avgprs,taxs,state_fn,year_str
1,AL,1985,1.07599997520447,3973000,116.486282348633,46014968,32.5000038146973,102.181671142578,33.3483352661133,Alabama,1985
2,AR,1985,1.07599997520447,2327000,128.534591674805,26210736,37.0,101.474998474121,37.0,Arkansas,1985
3,AZ,1985,1.07599997520447,3184000,104.52261352539101,43956936,31.0,108.578750610352,36.170417785644496,Arizona,1985
4,CA,1985,1.07599997520447,26444000,100.363037109375,447102816,26.0,107.83734130859399,32.1040000915527,California,1985
5,CO,1985,1.07599997520447,3209000,112.963539123535,49466672,31.0,94.26666259765629,31.0,Colorado,1985
6,CT,1985,1.07599997520447,3201000,109.278350830078,60063368,42.0,128.024993896484,51.483333587646506,Connecticut,1985
7,DE,1985,1.07599997520447,618000,143.851135253906,9927301,30.0,102.491661071777,30.0,Delaware,1985
8,FL,1985,1.07599997520447,11352000,122.181121826172,166919248,37.0,115.290000915527,42.4900016784668,Florida,1985
9,GA,1985,1.07599997520447,5963000,127.234619140625,78364336,28.0,97.0251693725586,28.841833114624,Georgia,1985
10,IA,1985,1.07599997520447,2830000,113.74558258056601,37902896,34.0,101.842002868652,37.916999816894496,Iowa,1985
11,ID,1985,1.07599997520447,994000,103.018112182617,11577261,25.100000381469695,102.89933013916,29.0576667785645,Idaho,1985
12,IL,1985,1.07599997520447,11401000,123.208480834961,176786352,28.0000057220459,104.440254211426,28.9152565002441,Illinois,1985
13,IN,1985,1.07599997520447,5460000,137.63737487793,71751616,26.5,96.1800003051758,31.0799999237061,Indiana,1985
14,KS,1985,1.07599997520447,2428000,116.68039703369101,34784360,32.0,98.92291259765629,34.8812484741211,Kansas,1985
15,KY,1985,1.07599997520447,3695000,186.035186767578,42703144,19.0,87.00125122070308,23.1429176330566,Kentucky,1985
16,LA,1985,1.07599997520447,4409000,127.557266235352,53431900,32.0,108.393997192383,36.168998718261705,Louisiana,1985
17,MA,1985,1.07599997520447,5881000,115.677597045898,98328688,42.0,112.208335876465,42.0,Massachusetts,1985
18,MD,1985,1.07599997520447,4414000,120.978706359863,74851664,29.0,91.96666717529301,29.0,Maryland,1985
19,ME,1985,1.07599997520447,1163000,128.116943359375,14575292,36.0,107.047500610352,41.0974998474121,Maine,1985
20,MI,1985,1.07599997520447,9077000,128.00485229492202,133728040,37.0,104.914169311523,37.8308334350586,Michigan,1985
21,MN,1985,1.07599997520447,4185000,112.90322875976601,63152360,34.0,113.64966583252001,40.4329986572266,Minnesota,1985
22,MO,1985,1.07599997520447,5001000,130.373931884766,69341920,29.000003814697298,99.33816528320308,29.8548374176025,Missouri,1985
23,MS,1985,1.07599997520447,2588000,117.040184020996,25678534,27.58333206176761,105.293334960938,33.5433311462402,Mississippi,1985
24,MT,1985,1.07599997520447,822000,104.25790405273399,9785230,32.0,99.2916641235352,32.0,Montana,1985
25,NC,1985,1.07599997520447,6255000,155.283767700195,79104656,18.0,84.9679946899414,21.26799964904789,North Carolina,1985
26,ND,1985,1.07599997520447,677000,105.465286254883,8672948,34.0,106.807998657227,38.108001708984396,North Dakota,1985
27,NE,1985,1.07599997520447,1585000,107.38170623779301,21778072,34.0,104.60666656494101,38.02333450317379,Nebraska,1985
28,NH,1985,1.07599997520447,997000,197.993988037109,15767469,33.0,95.5,33.0,New Hampshire,1985
29,NJ,1985,1.07599997520447,7566000,116.521278381348,133549208,41.0,110.416664123535,41.0,New Jersey,1985
30,NM,1985,1.07599997520447,1439000,88.74217987060551,17258916,28.0,102.77799987792999,31.952999114990202,New Mexico,1985
31,NV,1985,1.07599997520447,951000,141.95584106445298,14581495,31.0,114.18849945068399,37.4635009765625,Nevada,1985
32,NY,1985,1.07599997520447,17794000,116.66291809082001,297728512,37.0000038146973,109.99782562255899,37.881172180175795,New York,1985
33,OH,1985,1.07599997520447,10736000,127.598739624023,153455776,30.0,100.42374420166,34.7820816040039,Ohio,1985
34,OK,1985,1.07599997520447,3272000,127.139366149902,43395580,34.0,101.46807861328101,34.826416015625,Oklahoma,1985
35,OR,1985,1.07599997520447,2673000,119.45379638671899,36205164,35.0,97.03333282470699,35.0,Oregon,1985
36,PA,1985,1.07599997520447,11772000,117.703025817871,170033840,34.0,109.074005126953,40.173999786377,Pennsylvania,1985
37,RI,1985,1.07599997520447,967000,132.781784057617,14229156,39.0,100.941665649414,39.0,Rhode Island,1985
38,SC,1985,1.07599997520447,3304000,127.209442138672,38536176,23.0,90.6412506103516,27.3162498474121,South Carolina,1985
39,SD,1985,1.07599997520447,698000,106.59025573730499,8340000,31.0,97.0833358764648,31.0,South Dakota,1985
40,TN,1985,1.07599997520447,4716000,129.83459472656202,57749668,29.0,101.945503234863,34.770500183105504,Tennessee,1985
41,TX,1985,1.07599997520447,16275000,115.102928161621,231003152,35.25,107.37999725341801,39.3800010681152,Texas,1985
