"distance" "angle" "species" "season" "mass" "time"
1.24 38 "rat" "L" 0.359 "night"
2.13 29 "agouti" "L" 3.47 "day"
0.44 29 "agouti" "L" 3.47 "day"
1.65 15 "agouti" "L" 3.47 "day"
0.47 10 "paca" "L" 8 "night"
0.6 8 "brocket" "L" 22.8 "night"
1 7 "rat" "E" 0.359 "night"
0.92 2 "agouti" "L" 3.47 "day"
1.72 0 "coati" "L" 4.03 "day"
1.64 0 "coati" "L" 4.03 "day"
2.4 -2 "agouti" "E" 3.47 "day"
0.82 -4 "agouti" "L" 3.47 "day"
0.9 -10 "squirrel" "E" 0.4 "day"
1.63 -27 "agouti" "L" 3.47 "day"
1.35 -38 "squirrel" "L" 0.4 "day"
1.72 37 "squirrel" "L" 0.4 "day"
3.9 36 "agouti" "L" 3.47 "day"
2.1 34 "agouti" "L" 3.47 "day"
2.55 34 "ocelot" "L" 11.9 "day"
2.89 34 "paca" "L" 8 "night"
3.33 33 "agouti" "L" 3.47 "day"
0.67 32 "agouti" "M" 3.47 "day"
0.73 31 "rat" "L" 0.359 "night"
2.04 28 "agouti" "L" 3.47 "day"
4.35 28 "tamandua" "M" 4.21 "day"
0.88 26 "agouti" "M" 3.47 "night"
1.46 26 "tamandua" "M" 4.21 "day"
1.34 26 "coati" "L" 4.03 "day"
1.88 23 "agouti" "L" 3.47 "day"
2.28 22 "agouti" "L" 3.47 "day"
3.15 22 "paca" "M" 8 "night"
4.82 21 "agouti" "L" 3.47 "day"
2.32 19 "agouti" "M" 3.47 "day"
0.85 18 "agouti" "L" 3.47 "day"
1.47 18 "rat" "L" 0.359 "night"
1.68 17 "agouti" "L" 3.47 "day"
1.6 14 "rat" "E" 0.359 "night"
3.9 13 "agouti" "E" 3.47 "day"
2.1 12 "agouti" "M" 3.47 "day"
1.36 12 "agouti" "L" 3.47 "day"
4.1 11 "agouti" "L" 3.47 "day"
2.79 10 "agouti" "M" 3.47 "day"
2.52 9 "paca" "L" 8 "night"
2.58 8 "peccary" "L" 25.2 "day"
2.51 7 "agouti" "M" 3.47 "day"
1.71 7 "rat" "L" 0.359 "night"
1.3 7 "agouti" "E" 3.47 "day"
2.15 7 "agouti" "M" 3.47 "day"
2.08 7 "agouti" "L" 3.47 "day"
1.41 6.166 "agouti" "M" 3.47 "day"
0.3 6 "tamandua" "E" 4.21 "day"
3.26 6 "agouti" "M" 3.47 "day"
2.61 5 "agouti" "L" 3.47 "day"
2.55 4 "agouti" "L" 3.47 "day"
3.08 4 "agouti" "L" 3.47 "day"
2 4 "coati" "E" 4.03 "day"
3.52 3.52 "peccary" "L" 25.2 "day"
1.5 3 "rat" "E" 0.359 "night"
0.58 2 "agouti" "L" 3.47 "day"
1.28 2 "agouti" "L" 3.47 "day"
0.88 0 "ocelot" "L" 11.9 "day"
0.93 0 "agouti" "L" 3.47 "day"
1.08 0 "rat" "L" 0.359 "night"
1.6 0 "agouti" "L" 3.47 "day"
0.89 0 "agouti" "M" 3.47 "night"
2.45 0 "coati" "L" 4.03 "day"
2.44 0 "ocelot" "M" 11.9 "night"
1.37 0 "agouti" "L" 3.47 "day"
1.23 0 "ocelot" "L" 11.9 "night"
1.34 0 "agouti" "L" 3.47 "night"
1.7 0 "ocelot" "E" 11.9 "night"
1.57 0 "agouti" "L" 3.47 "day"
4.5 0 "coati" "E" 4.03 "day"
2.35 -1 "paca" "M" 8 "night"
1.02 -2 "agouti" "L" 3.47 "day"
1.5 -2 "agouti" "L" 3.47 "day"
1.72 -2 "agouti" "L" 3.47 "day"
1.41 -2 "agouti" "L" 3.47 "day"
1.34 -4 "agouti" "L" 3.47 "day"
2.15 -4 "ocelot" "L" 11.9 "day"
2.27 -4 "agouti" "L" 3.47 "day"
2.3 -5 "squirrel" "M" 0.4 "day"
1.73 -6 "brocket" "L" 22.8 "day"
3.26 -7 "peccary" "M" 25.2 "day"
2.98 -7 "agouti" "M" 3.47 "day"
4.1 -7 "paca" "L" 8 "night"
1.24 -8 "agouti" "M" 3.47 "day"
2.25 -8 "agouti" "L" 3.47 "day"
1.35 -8 "agouti" "L" 3.47 "day"
1.2 -8 "tamandua" "L" 4.21 "night"
1.91 -8 "agouti" "L" 3.47 "day"
2.9 -9 "rat" "M" 0.359 "night"
1.08 -10 "mouse" "M" 0.1 "night"
1.9 -10 "brocket" "E" 22.8 "night"
5.35 -11 "agouti" "M" 3.47 "day"
2.68 -11 "paca" "M" 8 "night"
3.68 -11 "agouti" "M" 3.47 "day"
2.46 -12 "agouti" "M" 3.47 "day"
1.35 -12 "squirrel" "L" 0.4 "day"
1.1 -13 "agouti" "M" 3.47 "day"
1.6 -13 "agouti" "L" 3.47 "day"
3.72 -15 "agouti" "M" 3.47 "day"
1.43 -15 "agouti" "M" 3.47 "day"
2.15 -15 "armadillo" "L" 4.2 "night"
1.1 -15 "agouti" "L" 3.47 "day"
3.15 -16 "agouti" "M" 3.47 "day"
2.25 -16 "agouti" "L" 3.47 "day"
1.78 -17 "agouti" "L" 3.47 "day"
3.2 -17 "brocket" "M" 22.8 "day"
1.43 -19 "coati" "L" 4.03 "day"
1.71 -19 "agouti" "L" 3.47 "day"
1.68 -20 "brocket" "M" 22.8 "day"
1.43 -22 "agouti" "L" 3.47 "day"
1.84 -22 "ocelot" "L" 11.9 "day"
3.4 -24 "agouti" "M" 3.47 "day"
0.42 -25 "agouti" "L" 3.47 "day"
3.36 -26 "paca" "M" 8 "night"
2.29 -26 "agouti" "L" 3.47 "day"
3.85 -27 "agouti" "L" 3.47 "day"
2.68 -28 "agouti" "M" 3.47 "day"
0.72 -28 "rat" "M" 0.359 "night"
0.67 -30 "squirrel" "L" 0.4 "day"
2.58 -31 "rat" "L" 0.359 "night"
1.79 -32 "agouti" "M" 3.47 "day"
2.15 -32 "agouti" "L" 3.47 "day"
0.61 -33 "mouse" "L" 0.1 "night"
2.56 -36 "agouti" "L" 3.47 "day"
0.44 42 "rat" "L" 0.359 "night"
1.35 42 "peccary" "L" 25.2 "day"
1.12 38 "squirrel" "L" 0.4 "day"
0.52 38 "agouti" "L" 3.47 "night"
0.75 32 "rat" "M" 0.359 "night"
1.7 32 "squirrel" "L" 0.4 "day"
0.94 32 "paca" "L" 8 "night"
0.58 31 "agouti" "M" 3.47 "day"
1.98 31 "agouti" "L" 3.47 "day"
1.11 29 "rat" "L" 0.359 "night"
0.64 28 "rat" "L" 0.359 "night"
1.65 28 "squirrel" "L" 0.4 "day"
1.56 27 "rat" "L" 0.359 "night"
1.48 26 "agouti" "L" 3.47 "day"
1.12 26 "coati" "L" 4.03 "day"
3.45 25 "agouti" "L" 3.47 "day"
1.48 24 "peccary" "M" 25.2 "day"
3.16 23 "paca" "L" 8 "night"
1.15 23 "tayra" "M" 5 "day"
1.72 23 "mouse" "L" 0.1 "night"
1.7 23 "agouti" "L" 3.47 "day"
0.94 22 "agouti" "L" 3.47 "day"
1.28 21 "agouti" "M" 3.47 "day"
5.9 20 "brocket" "M" 22.8 "day"
1.44 19 "coati" "L" 4.03 "day"
1.14 18 "agouti" "M" 3.47 "day"
2.83 17 "paca" "M" 8 "night"
2.45 16 "agouti" "L" 3.47 "day"
3.8 16 "peccary" "L" 25.2 "day"
4.19 15 "agouti" "M" 3.47 "day"
2.05 14 "agouti" "L" 3.47 "day"
3.17 14 "coati" "L" 4.03 "day"
1.42 13 "agouti" "M" 3.47 "day"
1.8 12 "coati" "E" 4.03 "day"
3 12 "peccary" "E" 25.2 "day"
1.31 11 "rat" "M" 0.359 "night"
2.98 11 "agouti" "M" 3.47 "day"
0.87 10 "agouti" "L" 3.47 "day"
0.02 10 "squirrel" "L" 0.4 "day"
1.57 10 "agouti" "M" 3.47 "day"
4.15 9 "agouti" "M" 3.47 "day"
1.5 8 "agouti" "E" 3.47 "day"
1.35 8 "brocket" "L" 22.8 "day"
2.47 8 "agouti" "L" 3.47 "day"
1.41 7 "rat" "L" 0.359 "night"
1.46 7 "agouti" "M" 3.47 "day"
3.35 7 "agouti" "M" 3.47 "day"
3.8 7 "peccary" "E" 25.2 "day"
1.75 7 "agouti" "M" 3.47 "day"
2.37 7 "paca" "L" 8 "night"
1.06 6 "agouti" "M" 3.47 "day"
0.8 5 "mouse" "M" 0.1 "night"
0.84 5 "agouti" "M" 3.47 "day"
4.42 5 "ocelot" "M" 11.9 "night"
2.51 5 "peccary" "L" 25.2 "day"
0.68 4 "agouti" "L" 3.47 "day"
2.37 4 "agouti" "L" 3.47 "day"
3.2 4 "agouti" "M" 3.47 "day"
1.97 2 "agouti" "M" 3.47 "day"
1.15 2 "coati" "M" 4.03 "day"
1.34 2 "agouti" "M" 3.47 "day"
