"species" "time" "speed"
"agouti" 0.339027778 0.200000003
"agouti" 0.582314815 0.300000012
"coati" 0.592453704 0.400000006
"ocelot" 0.509270833 0.5
"agouti" 0.403553241 0.600000024
"squirrel" 0.576655093 0.07
"agouti" 0.713402778 0.449999988
"ocelot" 0.71775463 0.330000013
"paca" 0.837175926 0.174999997
"agouti" 0.691111111 0.439999998
"agouti" 0.380648148 0.220000009
"rat" 0.808715278 0.314999998
"agouti" 0.688032407 0.230000004
"tamandua" 0.696886574 0.25
"agouti" 0.250578704 0.349999994
"tamandua" 0.741469907 0.136666665
"coati" 0.674270833 0.153333336
"agouti" 0.478194444 0.239999995
"agouti" 0.564594907 0.239999995
"paca" 0.999606481 0.280000001
"agouti" 0.65306713 0.709999979
"agouti" 0.713831019 0.379999995
"rat" 0.239340278 0.430000007
"agouti" 0.336157407 0.419999987
"rat" 0.059502315 0.800000012
"agouti" 0.291944444 0.400000006
"agouti" 0.460393519 0.143333336
"agouti" 0.428402778 0.234999999
"agouti" 0.671851852 1.166666667
"agouti" 0.531655093 0.25333333
"paca" 0.831539352 0.310000002
"peccary" 0.342118056 0.24000001
"agouti" 0.291041667 0.300000012
"rat" 0.070590278 0.430000007
"agouti" 0.305462963 0.5
"agouti" 0.477777778 0.970000029
"agouti" 0.474722222 0.323333343
"agouti" 0.391898148 0.170000002
"tamandua" 0.597685185 0.25
"agouti" 0.615972222 0.660000026
"agouti" 0.305775463 0.360000014
"agouti" 0.42181713 0.200000003
"agouti" 0.314699074 0.720000029
"coati" 0.423009259 0.400000006
"peccary" 0.358726852 0.425000012
"rat" 0.996516204 0.5
"agouti" 0.721412037 0.194999993
"agouti" 0.627951389 0.224999994
"agouti" 0.604768519 0.180000007
"rat" 0.802106481 0.479999989
"agouti" 0.441053241 0.159999996
"coati" 0.498564815 0.529999971
"ocelot" 0.841770833 0.610000014
"agouti" 0.346851852 0.414999992
"ocelot" 0.102418981 1.279999971
"agouti" 0.249803241 0.730000019
"ocelot" 0.137847222 0.800000012
"agouti" 0.560046296 0.559999983
"coati" 0.546828704 2
"paca" 0.837106481 0.300000012
"agouti" 0.378333333 0.219999999
"agouti" 0.424675926 0.234999999
"agouti" 0.686458333 0.223333339
"agouti" 0.326331019 0.400000006
"agouti" 0.276608796 0.324999988
"ocelot" 0.636365741 0.220000009
"agouti" 0.488518519 0.670000017
"squirrel" 0.258078704 1.200000048
"brocket" 0.731087963 1.5
"peccary" 0.361273148 0.153333336
"agouti" 0.426875 0.220000009
"paca" 0.210752315 0.829999983
"agouti" 0.54443287 0.170000002
"agouti" 0.687280093 0.209999993
"agouti" 0.455393519 0.280000001
"tamandua" 0.01150463 0.660000026
"agouti" 0.513541667 0.469999999
"rat" 0.234201389 0.300000012
"brocket" 0.037581019 1.200000048
"agouti" 0.262638889 0.200000003
"paca" 0.104050926 0.389999986
"agouti" 0.327025463 0.234999999
"agouti" 0.489641204 0.140000001
"squirrel" 0.312719907 0.149999996
"agouti" 0.708078704 0.300000012
"agouti" 0.27474537 0.540000021
"agouti" 0.528483796 0.174999997
"armadillo" 0.9621875 0.730000019
"agouti" 0.257013889 0.280000001
"agouti" 0.743587963 0.310000002
"agouti" 0.614097222 0.349999994
"brocket" 0.542546296 0.224999994
"coati" 0.346284722 0.146666666
"agouti" 0.724386574 0.229999999
"brocket" 0.296493056 0.224999994
"agouti" 0.759108796 0.370000005
"ocelot" 0.302905093 0.529999971
"agouti" 0.310613426 0.200000003
"agouti" 0.401423611 0.224999994
"paca" 0.918078704 0.150000006
"agouti" 0.423472222 0.170000002
"agouti" 0.375092593 0.533333341
"agouti" 0.614108796 0.149999996
"rat" 0.968240741 0.460000008
"squirrel" 0.293993056 0.200000003
"rat" 0.86287037 0.629999995
"agouti" 0.692476852 0.110000004
"agouti" 0.509953704 0.709999979
"mouse" 0.815127315 0.140000001
"agouti" 0.57337963 0.143333336
"agouti" 0.501597222 0.150000006
"agouti" 0.772847222 0.400000006
"agouti" 0.294351852 0.200000003
"coati" 0.762465278 0.5
"tamandua" 0.568483796 0.300000012
"agouti" 0.30681713 0.699999988
"agouti" 0.737465278 0.349999994
"tamandua" 0.576956019 0.349999994
"peccary" 0.661087963 0.349999994
"agouti" 0.341423611 0.349999994
"coati" 0.351435185 0.800000012
"agouti" 0.344675926 0.400000006
"coati" 0.286435185 0.899999976
"agouti" 0.596458333 1
"ocelot" 0.668819444 0.5
"agouti" 0.710671296 0.550000012
"coati" 0.436747685 0.550000012
"coati" 0.351631944 1.299999952
"agouti" 0.450532407 0.699999988
"agouti" 0.671585648 0.699999988
"agouti" 0.319409722 1.5
"agouti" 0.340104167 2.599999905
"rat" 0.022337963 0.25
"rat" 0.840162037 0.25
"peccary" 0.263321759 0.366666675
"squirrel" 0.619259259 0.629999995
"agouti" 0.250509259 0.469999999
"rat" 0.084907407 0.209999993
"squirrel" 0.506296296 0.215000004
"paca" 0.12712963 0.149999996
"agouti" 0.668483796 0.074000001
"agouti" 0.379050926 0.224999994
"rat" 0.133252315 0.419999987
"rat" 0.990775463 0.139999996
"squirrel" 0.530590278 0.600000024
"rat" 0.921354167 0.143333336
"agouti" 0.704247685 0.439999998
"coati" 0.404444444 0.108000004
"agouti" 0.347222222 0.310000002
"peccary" 0.736145833 0.810000002
"paca" 0.916469907 0.166666667
"mouse" 0.912268519 0.155000001
"agouti" 0.49431713 0.209999993
"agouti" 0.286423611 0.349999994
"agouti" 0.257685185 0.24000001
"brocket" 0.757905093 0.600000024
"coati" 0.616550926 0.516666651
"agouti" 0.312314815 0.360000014
"paca" 0.87150463 0.167500004
"agouti" 0.692256944 1.340000033
"peccary" 0.706099537 0.3
"agouti" 0.334247685 0.125999999
"agouti" 0.537210648 0.469999999
"coati" 0.560902778 0.175999999
"agouti" 0.657164352 0.25333333
"coati" 0.378726852 0.699999988
"peccary" 0.464803241 0.3
"rat" 0.85306713 0.193333328
"agouti" 0.526342593 0.132000005
"agouti" 0.377280093 0.360000014
"squirrel" 0.442280093 0.409999996
"agouti" 0.700555556 0.310000002
"agouti" 0.332546296 0.177999997
"agouti" 0.259571759 0.166666667
"brocket" 0.702743056 0.30250001
"agouti" 0.759108796 3.700000048
"rat" 0.851446759 0.629999995
"agouti" 0.646354167 0.24000001
"agouti" 0.559768519 1.279999971
"peccary" 0.35662037 1.299999952
"agouti" 0.662719907 0.5
"paca" 0.823611111 0.583333333
"agouti" 0.415891204 0.125
"mouse" 0.147893519 0.116666665
"agouti" 0.544363426 0.112499997
"ocelot" 0.845185185 0.186333338
"peccary" 0.324247685 0.112
"agouti" 0.274618056 0.289999992
"agouti" 0.704328704 0.273333331
"agouti" 0.410266204 0.34000001
"agouti" 0.488900463 0.389999986
"coati" 0.659502315 0.105999994
"agouti" 0.491064815 0.284999996
"armadillo" 0.17974537 0.209999998
"agouti" 0.726493056 0.389999986
"agouti" 0.599085648 0.150000006
"paca" 0.003125 0.123333335
"agouti" 0.565497685 0.400000006
"coati" 0.406863426 0.094
"agouti" 0.394826389 0.119999997
"paca" 0.911990741 0.166666667
"coati" 0.498773148 0.5
"agouti" 0.523275463 0.275000006
"agouti" 0.542893519 0.110000002
"paca" 0.863472222 0.550000012
"paca" 0.817858796 0.183333337
"agouti" 0.324074074 0.569999993
"agouti" 0.332141204 0.289999992
"agouti" 0.721215278 0.660000026
"ocelot" 0.140115741 0.136000001
"peccary" 0.253541667 0.266666671
"armadillo" 0.222662037 0.283333341
"ocelot" 0.733981481 0.366666675
"agouti" 0.43318287 0.220000005
"agouti" 0.294710648 0.383333325
"agouti" 0.383344907 1.350000024
"armadillo" 0.835 0.537500024
"agouti" 0.253935185 0.156666666
"coati" 0.417731481 0.193333328
"agouti" 0.649849537 0.610000014
"agouti" 0.266064815 0.220000009
"paca" 0.0778125 0.060000002
"agouti" 0.259537037 0.136666665
"agouti" 0.514548611 0.449999988
"paca" 0.044131944 0.25999999
"peccary" 0.00337963 1.600000024
"paca" 0.003333333 0.072000003
"paca" 0.958344907 0.092500001
"squirrel" 0.267361111 0.183333337
"agouti" 0.459988426 0.140000001
