"species" "time"
"agouti" 0.4125
"agouti" 0.414583333
"agouti" 0.674305556
"rat" 0.240972222
"peccary" 0.754861111
"ocelot" 0.191666667
"peccary" 0.016666667
"peccary" 0.885416667
"agouti" 0.554166667
"agouti" 0.316666667
"tayra" 0.364583333
"peccary" 0.83125
"agouti" 0.45
"agouti" 0.452083333
"agouti" 0.710416667
"peccary" 0.756944444
"tamandua" 0.835416667
"agouti" 0.339583333
"agouti" 0.738888889
"peccary" 0.78125
"brocket" 0.299305556
"peccary" 0.665972222
"peccary" 0.711111111
"agouti" 0.753472222
"rat" 0.009027778
"agouti" 0.275694444
"agouti" 0.277777778
"agouti" 0.465277778
"agouti" 0.71875
"peccary" 0.859722222
"agouti" 0.447222222
"agouti" 0.449305556
"agouti" 0.707638889
"agouti" 0.711111111
"agouti" 0.309027778
"agouti" 0.327083333
"tamandua" 0.874305556
"agouti" 0.638194444
"peccary" 0.827083333
"agouti" 0.577777778
"agouti" 0.750694444
"agouti" 0.756944444
"agouti" 0.758333333
"agouti" 0.586805556
"agouti" 0.5875
"agouti" 0.757638889
"agouti" 0.759722222
"agouti" 0.768055556
"peccary" 0.220833333
"agouti" 0.318055556
"agouti" 0.677777778
"coati" 0.344444444
"coati" 0.353472222
"agouti" 0.30625
"rat" 0.232638889
"peccary" 0.3
"agouti" 0.617361111
"agouti" 0.756944444
"agouti" 0.76875
"agouti" 0.481944444
"agouti" 0.306944444
"agouti" 0.366666667
"agouti" 0.379166667
"agouti" 0.404166667
"rat" 0.813194444
"agouti" 0.279166667
"agouti" 0.297222222
"agouti" 0.311111111
"agouti" 0.334027778
"agouti" 0.384722222
"brocket" 0.195833333
"agouti" 0.353472222
"agouti" 0.276388889
"agouti" 0.289583333
"agouti" 0.432638889
"peccary" 0.70625
"peccary" 0.7375
"peccary" 0.272916667
"agouti" 0.277777778
"agouti" 0.281944444
"agouti" 0.45
"agouti" 0.470833333
"agouti" 0.297916667
"agouti" 0.415972222
"agouti" 0.565972222
"brocket" 0.679861111
"agouti" 0.697222222
"agouti" 0.699305556
"peccary" 0.360416667
"agouti" 0.655555556
"brocket" 0.338888889
"peccary" 0.847222222
"agouti" 0.311111111
"peccary" 0.670833333
"agouti" 0.30625
"agouti" 0.363888889
"peccary" 0.774305556
"peccary" 0.2625
"peccary" 0.771527778
"peccary" 0.786111111
"peccary" 0.8625
"peccary" 0.883333333
"peccary" 0.961805556
"peccary" 0.261805556
"peccary" 0.267361111
"agouti" 0.352777778
"coati" 0.584027778
"coati" 0.643055556
"agouti" 0.680555556
"coati" 0.690277778
"agouti" 0.75
"agouti" 0.286111111
"coati" 0.320833333
"coati" 0.329166667
"peccary" 0.855555556
"peccary" 0.945138889
"peccary" 0.949305556
"peccary" 0.95625
"peccary" 0.988888889
"peccary" 0.078472222
"peccary" 0.121527778
"peccary" 0.165277778
"peccary" 0.223611111
"peccary" 0.252777778
"peccary" 0.259722222
"peccary" 0.263194444
"agouti" 0.281944444
"agouti" 0.284027778
"agouti" 0.286111111
"squirrel" 0.313888889
"squirrel" 0.322222222
"peccary" 0.695138889
"peccary" 0.740972222
"agouti" 0.749305556
"peccary" 0.870833333
"peccary" 0.890277778
"peccary" 0.99375
"peccary" 0.995833333
"peccary" 0.107638889
"peccary" 0.218055556
"agouti" 0.296527778
"agouti" 0.310416667
"squirrel" 0.310416667
"peccary" 0.771527778
"peccary" 0.777777778
"peccary" 0.909722222
"peccary" 0.053472222
"peccary" 0.155555556
"peccary" 0.165277778
"peccary" 0.250694444
"agouti" 0.313888889
"coati" 0.505555556
"coati" 0.508333333
"coati" 0.510416667
"coati" 0.606944444
"coati" 0.608333333
"peccary" 0.760416667
"peccary" 0.790277778
"peccary" 0.802083333
"peccary" 0.821527778
"peccary" 0.824305556
"peccary" 0.83125
"peccary" 0.974305556
"peccary" 0.069444444
"peccary" 0.198611111
"peccary" 0.207638889
"peccary" 0.246527778
"agouti" 0.272916667
"agouti" 0.735416667
"peccary" 0.138194444
"peccary" 0.272222222
"agouti" 0.278472222
"agouti" 0.2875
"agouti" 0.764583333
"agouti" 0.767361111
"peccary" 0.777083333
"peccary" 0.85625
"peccary" 0.870833333
"peccary" 0.9875
"peccary" 0.015277778
"peccary" 0.171527778
"peccary" 0.215277778
"agouti" 0.283333333
"agouti" 0.373611111
"peccary" 0.736111111
"peccary" 0.852083333
"agouti" 0.329166667
