月亮和六便士,月亮和六便士,9.0
中国历代政治得失,中国历代政治得失,9.2
基督山伯爵,基督山伯爵,9.0
肖申克的救赎,肖申克的救赎,9.1
东方快车谋杀案,东方快车谋杀案,9.0
追风筝的人,追风筝的人,8.9
万历十五年,万历十五年,8.9
夹边沟记事,夹边沟记事,9.2
嫌疑人X的献身,嫌疑人X的献身,8.9
江城,江城,9.1
刀锋,刀锋,9.0
寻路中国:从乡村到工厂的自驾之旅,寻路中国:从乡村到工厂的自驾之旅,9.0
呐喊,呐喊,8.9
乡土中国,乡土中国,9.2
新名字的故事:那不勒斯四部曲-02,新名字的故事:那不勒斯四部曲-02,9.0
射雕英雄传（全四册）,射雕英雄传（全四册）,9.0
城南旧事:纪念普及版,城南旧事:纪念普及版,9.0
失踪的孩子:那不勒斯四部曲-04,失踪的孩子:那不勒斯四部曲-04,9.1
冰与火之歌:（1-5卷：权力的游戏、列王的纷争、冰雨的风暴、群鸦的盛宴、魔龙的狂,冰与火之歌:（1-5卷：权力的游戏、列王的纷争、冰雨的风暴、群鸦的盛宴、魔龙的狂,9.5
傲慢与偏见,傲慢与偏见,8.9
格林童话全集,格林童话全集,9.0
黄金时代:时代三部曲,黄金时代:时代三部曲,8.9
我与地坛:史铁生代表作,我与地坛:史铁生代表作,9.1
历史深处的忧虑:近距离看美国之一,历史深处的忧虑:近距离看美国之一,9.0
无人生还,无人生还,8.9
红楼梦,红楼梦,9.6
活着,活着,9.4
百年孤独,百年孤独,9.2
1984,1984,9.3
飘,飘,9.3
三体全集:地球往事三部曲,三体全集:地球往事三部曲,9.4
三国演义（全二册）,三国演义（全二册）,9.3
白夜行,白夜行,9.1
福尔摩斯探案全集（上中下）,福尔摩斯探案全集（上中下）,9.2
房思琪的初恋乐园,房思琪的初恋乐园,9.2
动物农场,动物农场,9.2
小王子,小王子,9.0
天龙八部,天龙八部,9.1
撒哈拉的故事,撒哈拉的故事,9.2
安徒生童话故事集,安徒生童话故事集,9.2
文学回忆录（全2册）:1989—1994,文学回忆录（全2册）:1989—1994,9.1
白鹿原:20周年精装典藏版,白鹿原:20周年精装典藏版,9.2
神雕侠侣,神雕侠侣,8.9
艺术的故事,艺术的故事,9.6
史记（全十册）,史记（全十册）,9.5
悲惨世界（上中下）,悲惨世界（上中下）,9.0
上帝掷骰子吗:量子物理史话,上帝掷骰子吗:量子物理史话,9.2
许三观卖血记,许三观卖血记,8.8
哭泣的骆驼,哭泣的骆驼,8.9
看见,看见,8.8
卡拉马佐夫兄弟,卡拉马佐夫兄弟,9.4
浪潮之巅,浪潮之巅,9.0
灿烂千阳,灿烂千阳,8.8
树上的男爵,树上的男爵,9.1
邓小平时代,邓小平时代,9.1
台北人,台北人,8.9
人间词话,人间词话,9.0
诗经,诗经,9.4
西游记（全二册）,西游记（全二册）,8.9
窗边的小豆豆,窗边的小豆豆,8.7
爱你就像爱生命,爱你就像爱生命,8.8
永恒的终结:关于时间旅行的终极奥秘和恢宏构想,永恒的终结:关于时间旅行的终极奥秘和恢宏构想,9.0
我们仨,我们仨,8.7
悉达多,悉达多,9.0
巨人的陨落:世纪三部曲,巨人的陨落:世纪三部曲,8.9
人生的智慧,人生的智慧,9.2
美的历程,美的历程,9.2
鼠疫,鼠疫,9.1
彷徨,彷徨,8.9
