id,关注的收藏夹,关注,关注者,关注的问题,关注的话题,关注的专栏
587598f89f11daf90617fb7a,52,17,1,30,58,2
587598f89f11daf90617fb7c,27,73,15,87,26,1
587598f89f11daf90617fb7e,72,94,1,112,20,4
587598f89f11daf90617fb80,174,84,8,895,30,7
587598f89f11daf90617fb82,3,236,64,119,44,17
587598f89f11daf90617fb84,15,577,46,7472,131,81
587598f89f11daf90617fb86,13,52,3,47,2,6
587598f89f11daf90617fb88,105,104,2,55,46,13
587598f89f11daf90617fb8a,795,268,39,49,1,69
587598f89f11daf90617fb8c,8,111,3,31,6,3
587598f89f11daf90617fb8e,3,4,0,6,0,0
587598f89f11daf90617fb90,3,38,4,25,104,2
587598f89f11daf90617fb92,27,197,7,366,103,52
587598f89f11daf90617fb94,14,239,14,1573,112,5
587598f89f11daf90617fb96,32,80,0,21,31,10
587598f89f11daf90617fb98,64,86,5,66,34,2
587598f89f11daf90617fb9a,54,16,3,64,10,8
587598f89f11daf90617fb9c,12,3,1,3,8,1
587598f89f11daf90617fb9e,81,71,5,99,24,3
587598f89f11daf90617fba0,97,208,21,507,177,33
